code;location;registered;envelopes;valid;Občanská demokratická strana;Řád národa - Vlastenecká unie;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Česká str.sociálně demokrat.;Radostné Česko;STAROSTOVÉ A NEZÁVISLÍ;Komunistická str.Čech a Moravy;Strana zelených;ROZUMNÍ-stop migraci,diktát.EU;Strana svobodných občanů;Blok proti islam.-Obran.domova;Občanská demokratická aliance
574724;Barchov;170;113;113;5;0;0;9;0;12;7;0;3;1;0;0
574741;Bezděkov;262;164;163;18;0;0;5;0;14;9;7;1;2;0;0
574783;Borek;226;161;159;30;0;1;12;1;12;9;2;1;3;2;0
574791;Brloh;193;149;149;8;0;0;10;0;17;11;0;4;1;0;0
574805;Břehy;833;576;573;65;1;0;43;0;30;66;9;4;0;0;0
574813;Bukovina nad Labem;187;139;138;23;1;0;6;0;6;15;0;1;1;0;0
574821;Bukovina u Přelouče;69;51;50;4;0;0;6;0;4;3;1;3;0;0;0
574830;Bukovka;316;207;206;22;0;0;8;1;14;15;1;3;0;0;0
574848;Býšť;1148;830;826;103;1;5;35;1;67;39;13;8;23;0;4
572799;Časy;167;113;113;19;0;0;14;1;16;7;0;0;0;0;0
574856;Čeperka;891;618;614;59;0;0;29;0;37;38;18;2;6;0;1
574864;Čepí;339;219;214;35;0;1;9;0;7;12;1;0;5;0;0
572896;Černá u Bohdanče;376;249;246;21;0;0;13;0;15;17;4;1;4;0;0
574899;Dašice;1618;941;936;101;5;0;67;1;35;105;9;11;16;0;3
574902;Dolany;318;194;194;20;0;4;17;0;5;17;1;2;1;0;0
574911;Dolní Roveň;1607;989;984;100;1;5;63;1;24;68;11;10;5;0;3
574929;Dolní Ředice;720;464;464;47;0;2;47;0;28;30;9;4;9;1;1
574953;Dříteč;328;220;217;39;3;1;8;0;14;8;4;1;4;1;0
572977;Dubany;211;164;163;26;0;0;4;0;7;10;6;1;4;0;0
574961;Hlavečník;221;141;138;16;0;0;8;1;6;24;1;3;0;0;1
574988;Holice;5248;3254;3239;495;5;2;283;5;118;248;34;22;50;3;8
573019;Holotín;47;35;33;0;0;1;0;0;4;2;1;0;1;0;1
574996;Horní Jelení;1635;1027;1024;142;2;3;89;3;31;85;7;9;11;0;1
575011;Horní Ředice;807;529;526;61;1;0;31;0;34;36;3;8;8;0;2
575046;Hrobice;171;119;118;13;0;0;2;0;10;10;1;1;2;1;0
575054;Choltice;878;557;555;50;0;0;28;1;41;37;10;4;7;0;4
575062;Choteč;257;164;163;29;1;0;15;0;8;11;2;0;2;1;0
572764;Chrtníky;81;62;62;0;0;0;7;0;3;6;1;1;2;0;0
575071;Chvaletice;2464;1358;1353;91;3;0;110;1;101;142;10;16;19;2;1
575089;Chvojenec;537;329;324;49;0;0;22;3;18;14;7;3;3;0;0
575097;Chýšť;173;125;124;7;0;1;9;0;4;10;3;3;4;0;0
575101;Jankovice;257;170;169;13;1;1;15;0;10;29;0;3;2;0;0
575119;Jaroslav;191;139;138;20;0;1;3;0;11;13;1;5;0;0;0
575127;Jedousov;133;82;82;1;0;0;5;0;1;6;0;1;2;0;0
575135;Jeníkovice;185;125;125;8;1;0;4;0;2;11;1;0;0;0;0
575143;Jezbořice;309;223;220;29;0;2;14;0;8;17;1;1;2;1;0
575151;Kasalice;152;80;80;7;0;0;6;2;3;10;0;0;0;0;0
575178;Kladruby nad Labem;540;320;318;18;2;0;24;2;43;36;4;10;3;0;0
